ID,Age,Education,Experience,Income,ZIP Code,Married,Dependents,Credit_Card,Num_Credit_Card,Monthly_CC_Usage,Credit_Score,Self_Employed,Salaried,Loan_Amount,Nationality,Personal_Loan,Securities_Account,CD_Account,Online_Banking,Last_Two_Years_Tax_Return_Filled,Living_Property,Property_Area,Loan_Status,
49,56,3,26,81000,462001,1,2,1,1,45000,Good,Yes,No,50000,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
50,40,1,16,49000,462032,1,1,1,1,18000,Good,No,Yes,100000,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
51,32,2,8,8000,462003,0,4,0,1,7000,Good,Yes,No,50000,Indian,0,1,0,1,Yes ,Owned,Urban,Reject,
52,61,1,37,131000,462001,0,1,0,1,29000,Good,No,No,1000000,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
53,30,1,6,72000,462012,0,1,0,1,1000,Good,No,Yes ,200000,Indian,0,0,0,0,Yes ,Owned,Semi Urban,Approved,
54,50,3,26,190000,462021,0,3,0,1,21000,Standard,Yes ,Yes,1000000,Indian,1,0,0,1,Yes ,Owned,Semi Urban,Approved,
55,29,3,5,44000,462016,0,1,0,1,2000,Good,Yes,Yes,100000,Indian,0,0,0,1,Yes ,Rented,Semi Urban,Approved,
56,41,1,17,139000,462013,0,2,0,1,80000,Good,Yes,Yes,1000000,Indian,0,0,0,1,No,Owned,Urban,Approved,
57,55,2,30,29000,462003,0,3,0,7,1000,Poor,Yes,Yes,100000,Indian,0,1,1,1,Yes ,Rented,Semi Urban,Reject,
58,56,3,31,131000,462018,0,2,0,7,12000,Poor,Yes,No,1000000,Indian,1,0,0,0,Yes ,Owned,Rural,Reject,
59,28,1,2,93000,462004,0,2,0,7,2000,Poor,No,Yes,50000,Indian,0,0,0,0,Yes ,Owned,Urban,Reject,
60,31,1,5,188000,462001,0,2,0,7,45000,Poor,Yes,No,1000000,Indian,0,0,0,0,No,Owned,Urban,Reject,
61,49,2,24,39000,462026,0,3,0,7,17000,Standard,No,No,100000,Indian,0,1,0,1,Yes ,Rented,Urban,Approved,
62,47,1,21,125000,462010,0,1,0,7,57000,Standard,No,Yes ,1000000,Indian,0,1,0,0,Yes ,Owned,Urban,Approved,
63,42,1,18,22000,462010,0,1,0,7,10000,Standard,Yes ,Yes,50000,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
64,42,2,17,32000,462011,0,4,0,7,0,Poor,Yes,Yes,100000,Indian,0,0,0,1,No,Owned,Semi Urban,Reject,
65,47,1,23,105000,462021,0,2,0,5,33000,Good,Yes,Yes,1000000,Indian,0,0,0,0,Yes ,Rented,Semi Urban,Approved,
66,59,1,35,131000,462003,1,1,1,5,38000,Good,Yes,Yes,1000000,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
67,62,1,36,105000,462023,0,2,0,5,28000,Good,Yes,No,1000000,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
68,53,3,23,45000,462026,0,4,0,5,20000,Good,No,Yes,100000,Indian,0,1,0,0,No,Owned,Semi Urban,Approved,
69,47,1,21,60000,462006,1,3,1,5,21000,Standard,Yes,No,200000,Indian,0,0,0,1,Yes ,Owned,Rural,Reject,
70,53,1,29,20000,462004,0,4,0,5,2000,Good,No,Yes,50000,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
71,42,1,18,115000,462026,1,1,1,5,35000,Good,Yes,No,1000000,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
72,53,2,29,69000,462002,0,4,0,5,10000,Standard,No,No,200000,Indian,0,0,0,1,No,Owned,Urban,Reject,
73,44,1,20,130000,480111,1,1,1,5,50000,Good,No,Yes ,1000000,Indian,0,0,0,0,Yes ,Rented,Urban,Approved,
74,41,3,16,85000,483775,1,1,1,6,40000,Good,Yes ,Yes,50000,Indian,0,0,0,1,No,Owned,Urban,Approved,
75,28,1,3,135000,456331,1,2,1,6,33000,Good,Yes,Yes,1000000,Indian,0,0,0,0,Yes ,Rented,Semi Urban,Approved,
76,31,2,7,135000,486226,1,4,1,6,38000,Good,Yes,Yes,1000000,Indian,1,0,1,1,Yes ,Owned,Semi Urban,Approved,
77,58,3,32,12000,480110,0,3,0,6,3000,Good,Yes,Yes,50000,Indian,0,0,0,0,Yes ,Owned,Semi Urban,Reject,
78,46,2,20,29000,480447,0,3,0,6,5000,Good,Yes,No,100000,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
79,54,3,30,133000,480115,0,2,0,6,26000,Good,No,Yes,1000000,Indian,1,0,0,0,Yes ,Rented,Semi Urban,Approved,
80,50,1,26,19000,480116,0,2,0,6,4000,Good,Yes,No,50000,Indian,0,0,0,1,Yes ,Owned,Rural,Reject,
81,60,1,36,41000,480116,1,4,1,5,13000,Standard,No,No,100000,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
82,47,2,22,40000,480001,0,3,0,5,27000,Standard,No,Yes ,100000,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
83,41,3,16,82000,480002,0,1,0,5,40000,Standard,Yes ,Yes,50000,Indian,0,0,0,1,No,Rented,Urban,Approved,
84,33,2,9,50000,480001,0,1,0,5,24000,Standard,Yes,Yes,200000,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
85,46,3,22,18000,480002,0,1,0,5,9000,Standard,Yes,Yes,50000,Indian,0,0,0,1,Yes ,Owned,Urban,Reject,
86,27,3,2,109000,480002,0,4,0,5,18000,Standard,Yes,Yes,1000000,Indian,0,0,0,0,Yes ,Owned,Semi Urban,Approved,
87,40,2,16,42000,480002,0,4,0,5,22000,Standard,Yes,No,100000,Indian,0,0,0,0,No,Owned,Semi Urban,Reject,
88,48,1,22,78000,474001,0,3,0,5,11000,Standard,No,Yes,50000,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
89,65,1,41,51000,453652,0,2,0,6,11000,Standard,Yes,No,200000,Indian,0,0,0,1,Yes ,Owned,Urban,Reject,
90,25,3,-1,113000,474005,1,4,1,6,23000,Good,No,Yes,1000000,Indian,0,0,0,0,Yes ,Owned,Semi Urban,Reject,
91,55,2,30,118000,474001,0,4,0,6,56000,Standard,Yes,No,1000000,Indian,1,0,0,1,No,Rented,Rural,Reject,
92,35,3,10,29000,480443,0,4,0,6,11000,Standard,No,No,100000,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
93,43,2,19,34000,486341,0,3,0,6,6000,Good,No,Yes ,100000,Indian,0,0,0,0,Yes ,Rented,Urban,Approved,
94,60,3,34,64000,480001,0,2,0,6,17000,Good,Yes ,Yes,200000,Indian,0,1,0,1,Yes ,Owned,Urban,Approved,
95,65,1,39,121000,480001,0,1,0,6,20000,Good,Yes,Yes,1000000,Indian,0,0,0,0,No,Owned,Urban,Approved,
96,38,3,12,48000,480001,0,4,0,6,2000,Good,Yes,Yes,100000,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
97,41,1,15,80000,480001,0,1,0,4,52000,Standard,Yes,Yes,50000,Indian,0,0,0,0,Yes ,Rented,Semi Urban,Approved,
98,54,1,28,161000,486333,0,1,0,4,29000,Standard,Yes,No,1000000,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
99,49,1,23,94000,456450,0,1,0,4,3000,Standard,No,Yes,50000,Indian,0,0,0,1,No,Owned,Semi Urban,Approved,
100,66,3,41,15000,480553,0,3,0,4,1000,Standard,Yes,No,50000,Indian,0,0,0,1,Yes ,Owned,Urban,Reject,
101,48,1,23,74000,480449,0,1,0,4,12000,Standard,No,No,200000,Indian,0,0,0,1,No,Rented,Semi Urban,Reject,
102,61,2,36,30000,453235,0,3,0,4,13000,Standard,No,Yes ,100000,Indian,0,0,0,0,Yes ,Owned,Rural,Reject,
103,53,3,23,44000,486113,1,3,1,4,10000,Standard,Yes ,Yes,100000,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
104,43,2,18,22000,464221,0,2,0,4,3000,Standard,Yes,Yes,50000,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
105,56,1,32,38000,464221,1,4,1,5,13000,Poor,Yes,Yes,100000,Indian,0,0,0,1,Yes ,Owned,Urban,Reject,
106,24,2,0,35000,464221,0,3,0,5,1000,Poor,Yes,Yes,100000,Indian,0,1,0,1,Yes ,Owned,Urban,Reject,
107,43,1,17,69000,486115,1,4,1,5,29000,Poor,Yes,No,200000,Indian,0,0,0,1,Yes ,Owned,Urban,Reject,
108,42,1,18,43000,453220,0,1,0,5,7000,Poor,No,Yes,100000,Indian,0,0,0,0,Yes ,Owned,Semi Urban,Reject,
109,33,3,7,32000,456550,0,1,0,5,6000,Poor,Yes,No,100000,Indian,0,0,0,1,Yes ,Rented,Semi Urban,Reject,
110,43,1,17,49000,483222,0,1,0,5,28000,Poor,No,Yes,100000,Indian,0,0,0,1,No,Owned,Semi Urban,Reject,
111,41,2,14,9000,464220,0,3,0,5,10000,Poor,Yes,No,50000,Indian,0,0,0,0,Yes ,Rented,Urban,Reject,
112,62,2,38,45000,474040,0,4,0,5,13000,Poor,No,No,100000,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Reject,
113,40,1,15,82000,474042,0,3,0,7,10000,Standard,No,Yes ,50000,Indian,0,0,0,0,Yes ,Owned,Rural,Reject,
114,58,1,34,92000,474055,0,2,0,7,28000,Standard,Yes ,Yes,50000,Indian,0,0,0,0,No,Owned,Urban,Approved,
115,39,3,14,39000,474001,0,3,0,7,5000,Standard,Yes,Yes,100000,Indian,0,0,0,1,Yes ,Rented,Urban,Approved,
116,65,2,40,81000,474004,0,3,0,7,18000,Standard,Yes,Yes,50000,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
117,54,2,29,35000,474003,0,1,0,7,15000,Standard,Yes,Yes,100000,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
118,58,3,33,61000,474008,0,2,0,7,23000,Standard,Yes,No,200000,Indian,0,0,0,1,No,Owned,Urban,Reject,
119,41,1,16,73000,474009,0,3,0,7,30000,Standard,No,Yes,200000,Indian,0,0,0,1,Yes ,Rented,Semi Urban,Approved,
120,32,1,7,112000,474020,0,1,0,7,46000,Standard,Yes,No,1000000,Indian,0,0,0,0,Yes ,Owned,Semi Urban,Approved,
121,54,3,29,12000,474006,0,2,0,6,2000,Standard,No,No,50000,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Reject,
122,52,3,26,38000,474010,0,3,0,6,9000,Standard,No,Yes ,100000,Indian,0,0,0,1,No,Owned,Urban,Approved,
123,58,2,32,73000,474007,1,2,1,6,7000,Standard,Yes ,Yes,200000,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
124,37,2,13,84000,474002,0,1,0,6,36000,Standard,Yes,Yes,50000,Indian,0,1,0,0,Yes ,Owned,Rural,Reject,
125,39,1,15,78000,474005,0,4,0,6,24000,Standard,Yes,Yes,50000,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
126,60,1,35,80000,464331,0,3,0,6,5000,Standard,Yes,Yes,50000,Indian,0,0,0,1,No,Owned,Urban,Approved,
127,31,1,5,115000,480224,1,2,1,6,13000,Standard,Yes,No,1000000,Indian,0,0,0,1,Yes ,Rented,Urban,Approved,
128,34,2,8,82000,453463,0,1,0,6,27000,Standard,No,Yes,50000,Indian,0,0,0,1,No,Owned,Urban,Approved,
129,38,1,14,74000,474003,0,2,0,7,0,Standard,Yes,No,200000,Indian,0,1,0,1,Yes ,Rented,Urban,Approved,
130,41,3,16,70000,452056,1,3,1,7,5000,Standard,No,Yes,200000,Indian,0,0,0,0,Yes ,Owned,Semi Urban,Approved,
131,28,1,4,81000,452001,0,3,0,7,15000,Standard,Yes,No,50000,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
132,58,2,34,149000,452001,1,4,1,7,72000,Poor,No,No,1000000,Indian,1,0,1,1,Yes ,Owned,Semi Urban,Reject,
133,31,3,1,51000,452006,0,2,0,7,17500,Poor,No,Yes ,200000,Indian,0,0,0,0,Yes ,Rented,Urban,Reject,
134,30,2,4,39000,452001,0,3,0,7,11000,Poor,Yes ,Yes,100000,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Reject,
135,53,2,29,98000,452006,0,3,0,7,18000,Poor,Yes,Yes,50000,Indian,0,0,0,0,Yes ,Owned,Rural,Reject,
136,58,1,33,45000,452006,1,4,1,7,21000,Poor,Yes,Yes,100000,Indian,0,0,0,1,Yes ,Owned,Urban,Reject,
137,59,2,32,49000,452005,0,4,0,7,25000,Standard,Yes,Yes,100000,Indian,0,0,0,1,No,Rented,Urban,Approved,
138,49,1,25,128000,452005,0,2,0,7,4000,Standard,Yes,No,1000000,Indian,0,0,0,0,Yes ,Owned,Urban,Approved,
139,59,1,34,42000,452001,1,3,1,7,15000,Standard,No,Yes,100000,Indian,0,1,1,0,Yes ,Owned,Urban,Approved,
140,59,3,35,18000,452002,0,1,0,7,12000,Standard,Yes,No,50000,Indian,0,0,0,1,Yes ,Owned,Urban,Reject,
141,51,3,25,31000,452002,1,2,1,7,4000,Standard,No,No,100000,Indian,0,0,0,1,No,Owned,Semi Urban,Reject,
142,35,1,11,58000,452002,1,3,1,7,20000,Standard,No,Yes ,200000,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
143,33,3,9,48000,452001,1,1,1,7,21000,Standard,Yes ,Yes,100000,Indian,0,0,0,0,Yes ,Owned,Semi Urban,Approved,
144,25,1,1,54000,452002,1,4,1,7,16000,Standard,Yes,Yes,200000,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
145,49,2,23,70000,452002,0,2,0,6,15000,Standard,Yes,Yes,200000,Indian,0,0,0,0,No,Rented,Semi Urban,Approved,
146,59,1,35,124000,452001,1,1,1,6,74000,Standard,Yes,Yes,1000000,Indian,0,0,0,0,Yes ,Owned,Rural,Reject,
147,46,2,19,84000,452001,1,1,1,6,26700,Standard,Yes,No,50000,Indian,0,0,0,1,Yes ,Rented,Urban,Approved,
148,50,3,25,83000,452001,0,4,0,6,36000,Good,No,Yes,50000,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
149,52,1,28,163000,452020,0,2,0,6,4000,Good,Yes,No,1000000,Indian,0,0,0,1,No,Owned,Urban,Reject,
150,48,2,22,42000,452002,0,3,0,6,22000,Good,No,Yes,100000,Indian,0,0,0,0,Yes ,Owned,Urban,Reject,
151,46,1,22,118000,452002,1,2,1,6,75000,Standard,Yes,No,1000000,Indian,0,0,1,1,Yes ,Rented,Urban,Approved,
152,26,3,0,132000,452002,1,3,1,6,65000,Good,No,No,1000000,Indian,1,0,0,0,Yes ,Owned,Semi Urban,Approved,
153,57,1,32,24000,452002,1,1,1,7,13000,Poor,No,Yes ,50000,Indian,0,0,0,1,No,Owned,Semi Urban,Reject,
154,60,1,36,22000,452001,1,2,1,7,10000,Poor,Yes ,Yes,50000,Indian,0,1,1,1,Yes ,Owned,Semi Urban,Reject,
155,54,3,29,58000,452001,0,4,0,7,13000,Poor,Yes,Yes,200000,Indian,0,0,0,0,No,Rented,Urban,Reject,
156,24,1,0,60000,452002,0,4,0,7,16000,Standard,Yes,Yes,200000,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
157,26,1,0,15000,452001,1,4,1,7,4000,Poor,Yes,Yes,50000,Indian,0,0,0,0,Yes ,Owned,Rural,Reject,
158,41,1,17,83000,452002,1,4,1,1029,26700,Poor,Yes,No,50000,Indian,0,0,0,1,Yes ,Owned,Urban,Reject,
159,32,3,6,79000,452012,1,2,1,7,15000,Poor,No,Yes,50000,Indian,0,0,0,1,Yes ,Owned,Urban,Reject,
160,61,2,35,41000,452002,0,4,0,7,17000,Standard,Yes,No,100000,Indian,0,1,0,1,Yes ,Owned,Urban,Reject,
161,29,3,0,134000,452002,0,4,0,5,65000,Standard,No,No,1000000,Indian,1,0,0,0,Yes ,Owned,Urban,Approved,
162,61,1,35,80000,452008,0,2,0,5,28000,Standard,No,Yes ,50000,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
163,38,1,12,52000,452008,0,1,0,5,20000,Standard,Yes ,Yes,200000,Indian,0,0,0,0,Yes ,Rented,Semi Urban,Approved,
164,28,1,4,70000,452001,0,4,0,488,26000,Poor,Yes,Yes,200000,Indian,0,0,0,1,No,Owned,Semi Urban,Reject,
165,53,1,27,92000,452001,0,2,0,5,11000,Poor,Yes,Yes,50000,Indian,0,1,0,0,Yes ,Rented,Semi Urban,Reject,
166,27,1,1,43000,452009,0,1,0,5,15000,Poor,Yes,Yes,100000,Indian,0,0,0,1,Yes ,Owned,Urban,Reject,
167,25,2,1,21000,452001,0,3,0,5,10000,Poor,Yes,No,50000,Indian,0,0,0,0,Yes ,Owned,Semi Urban,Reject,
168,33,3,9,23000,452001,1,3,1,5,9000,Poor,No,Yes,50000,Indian,0,0,0,1,No,Owned,Rural,Reject,
169,50,1,26,13000,452002,0,4,0,5,10000,Poor,Yes,No,50000,Indian,0,0,0,1,Yes ,Rented,Urban,Reject,
170,27,3,1,112000,452002,1,4,1,5,21000,Poor,No,Yes,1000000,Indian,0,0,0,0,Yes ,Owned,Urban,Reject,
171,27,1,1,138000,452004,0,2,0,5,20000,Poor,Yes,No,1000000,Indian,0,0,0,1,Yes ,Owned,Urban,Reject,
172,52,1,28,11000,474009,0,3,0,5,4000,Standard,No,No,50000,Indian,0,1,0,0,No,Owned,Urban,Reject,
173,38,1,13,171000,482006,0,2,0,5,78000,Poor,No,Yes ,1000000,Indian,0,0,0,1,Yes ,Rented,Urban,Reject,
174,58,1,34,42000,482010,1,4,1,5,15000,Poor,Yes ,Yes,100000,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Reject,
175,42,2,17,168000,482051,0,2,0,5,79000,Poor,Yes,Yes,1000000,Indian,1,0,0,1,Yes ,Owned,Semi Urban,Reject,
176,45,2,20,85000,483220,0,4,0,5,11000,Poor,Yes,Yes,50000,Indian,0,1,0,1,No,Owned,Semi Urban,Reject,
177,52,2,25,44000,483220,0,3,0,4,10000,Good,Yes,Yes,100000,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
178,29,2,3,65000,483445,0,4,0,4,18000,Good,Yes,No,200000,Indian,0,0,0,0,Yes ,Owned,Semi Urban,Approved,
179,53,1,29,24000,483880,1,4,1,4,2000,Good,No,Yes,50000,Indian,0,0,0,1,Yes ,Owned,Rural,Reject,
180,62,1,37,11000,482001,0,1,0,4,1000,Good,Yes,No,50000,Indian,0,0,0,1,No,Owned,Urban,Reject,
181,51,3,27,38000,482004,0,2,0,4,10000,Good,No,No,100000,Indian,0,0,0,1,Yes ,Rented,Urban,Approved,
182,36,2,12,10000,482004,0,4,0,4,7000,Standard,No,Yes ,50000,Indian,0,0,0,0,No,Owned,Urban,Reject,
183,24,1,0,135000,482001,0,1,0,4,15000,Standard,Yes ,Yes,1000000,Indian,0,0,0,1,Yes ,Rented,Urban,Approved,
184,29,1,3,148000,482050,0,3,0,4,41000,Standard,Yes,Yes,1000000,Indian,1,0,0,1,Yes ,Owned,Urban,Approved,
185,52,2,26,63000,482056,0,2,0,5,15000,Standard,Yes,Yes,200000,Indian,0,1,0,1,Yes ,Owned,Semi Urban,Approved,
186,39,3,14,115000,482053,0,1,0,5,10000,Standard,Yes,Yes,1000000,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Approved,
187,48,1,23,45000,482020,1,1,1,5,3000,Standard,Yes,No,100000,Indian,0,0,0,1,Yes ,Rented,Semi Urban,Approved,
188,46,3,21,159000,482001,0,3,0,5,19000,Poor,No,Yes,1000000,Indian,1,0,0,1,Yes ,Owned,Urban,Reject,
189,64,1,40,169000,482002,0,2,0,5,21000,Poor,Yes,No,1000000,Indian,0,0,0,1,Yes ,Owned,Semi Urban,Reject,
190,55,1,29,112000,482001,0,2,0,5,14000,Poor,No,Yes,1000000,Indian,0,0,0,1,Yes ,Owned,Rural,Reject,
191,60,1,36,93000,482001,0,1,0,5,43000,Poor,Yes,No,50000,Indian,0,0,0,1,No,Rented,Urban,Reject,
192,51,3,25,29000,482011,0,1,0,5,3000,Poor,No,No,100000,Indian,0,0,0,0,Yes ,Owned,Urban,Reject,
193,50,2,23,85000,482001,0,1,0,8,26700,Poor,No,Yes ,50000,Indian,0,0,0,1,Yes ,Owned,Urban,Reject,
194,48,1,24,21000,482002,1,4,1,8,6000,Standard,Yes ,Yes,50000,Indian,0,0,0,1,Yes ,Owned,Urban,Approved,
195,53,1,29,144000,482003,0,2,0,8,68000,Poor,Yes,Yes,1000000,Indian,0,0,0,1,No,Owned,Urban,Reject,
196,34,1,10,13000,482003,0,4,0,8,10000,Poor,Yes,Yes,50000,Indian,0,1,0,1,Yes ,Owned,Semi Urban,Reject,
197,48,1,24,165000,482002,1,1,1,8,50000,Poor,Yes,Yes,1000000,Indian,0,0,0,0,Yes ,Owned,Semi Urban,Reject,
